title,short_content,long_content
"물가","상품이나 서비스의 가격 수준을 나타내는 말이에요","작년에 1000원하던 아이스크림이 올해는 1200원이 되었네요. 이렇게 물건값이 전체적으로 오르거나 내리는 것을 물가라고 해요."
"투자","미래에 더 큰 이익을 얻기 위해 돈이나 시간을 쓰는 것이에요","운동선수가 되고 싶어서 학원을 다니거나, 주식을 사는 것처럼 나중에 더 좋은 결과를 얻기 위해 노력하는 거예요."
"예산","앞으로 쓸 돈의 계획을 미리 세워두는 것이에요","용돈 10000원으로 이번 달에 문구류 5000원, 간식 3000원, 저금 2000원! 이렇게 돈을 어떻게 쓸지 미리 계획하는 거예요."
"시장","물건을 사고 파는 것이 이루어지는 곳이에요","전통시장에서 과일을 사고, 인터넷에서 장난감을 구매하는 것처럼 물건을 사고파는 모든 곳을 말해요."
"화폐","물건을 살 때 사용하는 돈을 의미해요","옛날에는 쌀이나 조개껍질로 물건을 교환했지만, 지금은 지폐나 동전같은 돈으로 물건을 사고 팔 수 있어요."
"소득","일을 해서 벌어들이는 돈을 말해요","엄마 아빠가 회사에서 일하고 받는 월급이나, 내가 아르바이트해서 받는 돈이 소득이에요."
"지출","돈을 쓰는 것을 의미해요","마트에서 장을 보거나, 친구와 영화를 보러 가는 것처럼 돈을 사용하는 모든 것을 지출이라고 해요."
"저축","나중에 쓰기 위해 돈을 모으고 안전하게 보관하는 것이에요","용돈을 받아서 바로 쓰지 않고 저금통이나 은행에 모아두는 거예요. 마치 다람쥐가 겨울을 위해 도토리를 모으는 것과 같아요."
"대출","필요한 돈을 빌리는 것을 말해요","집을 사거나 학비를 내기 위해 은행에서 돈을 빌리는 것을 대출이라고 해요. 나중에 이자를 붙여 갚아야 해요."
"이자","빌린 돈에 대해 추가로 내는 돈을 말해요","은행에서 돈을 빌리면, 나중에 갚을 때 빌린 돈보다 더 많이 갚아야 해요. 이때 더 내는 돈이 이자에요."
"보험","위험에 대비해 미리 돈을 내고 보호받는 제도에요","자동차 사고나 병원비 같은 큰 돈이 드는 일을 대비해 매달 조금씩 돈을 내고, 사고가 나면 보상받는 것이 보험이에요."
"세금","정부가 국민에게 걷는 돈이에요","학교나 도로를 만드는 데 필요한 돈을 위해 정부가 우리에게 걷는 돈이 세금이에요. 물건을 살 때 내는 부가가치세도 포함돼요."
"경기","경제 활동의 상태를 나타내는 말이에요","사람들이 물건을 많이 사고, 회사가 잘 돌아가면 경기가 좋다고 해요. 반대로 물건이 안 팔리고 회사가 어려우면 경기가 나쁘다고 해요."
"수요","사람들이 어떤 물건이나 서비스를 사고 싶어 하는 욕구예요","방탄소년단 콘서트 티켓, 많은 사람들이 사고 싶어하죠? 이처럼 사람들이 어떤 물건이나 서비스를 구매하고 싶어하는 마음을 말해요."
"공급","물건이나 서비스를 팔기 위해 시장에 내놓는 것을 말해요","문방구에서 새로운 문구세트를 진열하거나, 편의점에 새로운 과자가 들어오는 것처럼 물건을 시장에 내놓는 걸 말해요."
"경쟁","같은 목표를 두고 서로 이기려고 하는 것을 말해요","학교 운동회에서 1등을 하려고 친구들과 달리기를 하는 것처럼, 회사들도 더 많은 손님을 끌기 위해 경쟁해요."
"독점","한 회사가 시장을 지배하는 것을 말해요","우리 동네에 한 개의 빵집만 있어서 다른 선택이 없을 때, 그 빵집이 독점하고 있다고 해요."
"거래","물건이나 서비스를 사고파는 것을 말해요","친구와 장난감을 교환하거나, 가게에서 과자를 사는 것처럼 물건을 주고받는 모든 것을 거래라고 해요."
"계약","서로 약속을 문서로 작성하는 것을 말해요","집을 빌릴 때 집주인과 계약서를 쓰거나, 핸드폰을 살 때 약정서를 쓰는 것처럼 서로의 약속을 문서로 남기는 거예요."
"자산","가치가 있는 모든 것을 말해요","집, 자동차, 돈, 심지어는 내가 가진 지식까지도 자산이에요. 나에게 이익을 줄 수 있는 모든 것을 자산이라고 해요."
"부채","갚아야 할 돈을 말해요","은행에서 돈을 빌리거나, 친구에게 돈을 빌렸을 때 그 돈을 부채라고 해요. 나중에 꼭 갚아야 해요."
"수익","물건을 팔거나 서비스를 제공해서 얻는 돈이에요","레몬에이드를 만들어 팔아서 번 돈이 수익이에요. 수익이 많으면 기분이 좋겠죠?"
"손실","돈을 잃는 것을 말해요","레몬에이드를 만들었는데 재료비보다 덜 팔렸다면 손실이에요. 손실이 나면 다음엔 더 잘해야겠죠?"
"자본","사업을 시작하거나 운영하는 데 필요한 돈이에요","레몬에이드 가게를 열기 위해 필요한 돈이 자본이에요. 자본이 있어야 사업을 시작할 수 있어요."
"경영","회사를 운영하고 관리하는 것을 말해요","레몬에이드 가게를 열고, 재료를 사고, 직원들을 관리하는 모든 것이 경영이에요."
"리스크","미래에 발생할 수 있는 위험을 말해요","비가 올지 몰라서 우산을 챙기는 것처럼, 사업에서도 예상치 못한 일이 생길 수 있어요. 이런 위험을 리스크라고 해요."
"인플레","물가가 지속적으로 오르는 현상을 말해요","작년에 1000원이던 아이스크림이 올해는 1200원이 되었다면, 물가가 오른 거죠. 이런 현상을 인플레라고 해요."
"디플레","물가가 지속적으로 내리는 현상을 말해요","작년에 1000원이던 아이스크림이 올해는 800원이 되었다면, 물가가 내린 거죠. 이런 현상을 디플레라고 해요."
